kommun_kod,kommun_namn,lan,org_nr,webbplats,diarium_url,contact_count,confidence,verified_at,notes
0642,Mullsjö,Jönköpings län,212000-1603,http://www.mullsjo.se,,2,medium,2026-05-17,
0643,Habo,Jönköpings län,212000-1611,http://www.habokommun.se,,3,high,2026-05-17,
0662,Gislaved,Jönköpings län,212000-0514,http://www.gislaved.se,,3,medium,2026-05-17,
0665,Vaggeryd,Jönköpings län,212000-0522,http://www.vaggeryd.se,,6,high,2026-05-17,
0680,Jönköping,Jönköpings län,212000-0530,http://www.jonkoping.se,,2,medium,2026-05-17,
0682,Nässjö,Jönköpings län,212000-0548,http://www.nassjo.se,,10,high,2026-05-17,
0683,Värnamo,Jönköpings län,212000-0555,https://kommun.varnamo.se,,0,low,2026-05-17,
0684,Sävsjö,Jönköpings län,212000-0563,http://www.savsjo.se,,8,high,2026-05-17,
0685,Vetlanda,Jönköpings län,212000-0571,https://kommun.vetlanda.se/,,0,low,2026-05-17,
0686,Eksjö,Jönköpings län,212000-0589,http://www.eksjo.se,,7,high,2026-05-17,
0687,Tranås,Jönköpings län,212000-0597,http://www.tranas.se,,2,medium,2026-05-17,
0760,Uppvidinge,Kronobergs län,212000-0605,http://www.uppvidinge.se,,6,high,2026-05-17,
0761,Lessebo,Kronobergs län,212000-0613,http://www.lessebo.se,,5,high,2026-05-17,
0763,Tingsryd,Kronobergs län,212000-0621,https://tingsryd.se,,3,high,2026-05-17,
0764,Alvesta,Kronobergs län,212000-0639,http://www.alvesta.se,,1,medium,2026-05-16,
0765,Älmhult,Kronobergs län,212000-0647,http://www.almhult.se,,4,high,2026-05-17,
0767,Markaryd,Kronobergs län,212000-0654,http://www.markaryd.se,,2,medium,2026-05-17,
0780,Växjö,Kronobergs län,212000-0662,https://www.vaxjo.se/,,1,medium,2026-05-17,
0781,Ljungby,Kronobergs län,212000-0670,http://www.ljungby.se,,3,medium,2026-05-17,
0821,Högsby,Kalmar län,212000-0688,http://www.hogsby.se,,0,low,2026-05-17,homepage fetch failed: fetch failed
0834,Torsås,Kalmar län,212000-0696,https://www.torsas.se/,,3,medium,2026-05-17,
0840,Mörbylånga,Kalmar län,212000-0704,http://www.morbylanga.se,,3,medium,2026-05-17,
0860,Hultsfred,Kalmar län,212000-0712,http://www.hultsfred.se,,1,medium,2026-05-17,
0861,Mönsterås,Kalmar län,212000-0720,http://www.monsteras.se,,5,high,2026-05-17,
0862,Emmaboda,Kalmar län,212000-0738,https://www.emmaboda.se,,3,medium,2026-05-17,
0880,Kalmar,Kalmar län,212000-0746,https://kalmar.se,,1,medium,2026-05-17,
0881,Nybro,Kalmar län,212000-0753,http://www.nybro.se,,2,medium,2026-05-17,
0882,Oskarshamn,Kalmar län,212000-0761,http://www.oskarshamn.se,,4,medium,2026-05-17,
0883,Västervik,Kalmar län,212000-0779,http://www.vastervik.se,,5,medium,2026-05-17,
0884,Vimmerby,Kalmar län,212000-0787,http://www.vimmerby.se,,3,high,2026-05-17,
0885,Borgholm,Kalmar län,212000-0795,http://www.borgholm.se,,2,medium,2026-05-16,
0980,Gotland,Gotlands län,212000-0803,http://www.gotland.se,,10,medium,2026-05-17,
1060,Olofström,Blekinge län,212000-0811,http://www.olofstrom.se,,4,high,2026-05-17,
1080,Karlskrona,Blekinge län,212000-0829,https://www.karlskrona.se/,,6,medium,2026-05-17,
1081,Ronneby,Blekinge län,212000-0837,http://www.ronneby.se,,3,high,2026-05-17,
1082,Karlshamn,Blekinge län,212000-0845,http://www.karlshamn.se,,4,medium,2026-05-17,
1083,Sölvesborg,Blekinge län,212000-0852,http://www.solvesborg.se,,3,high,2026-05-17,
1214,Svalöv,Skåne län,212000-0993,http://www.svalov.se,,4,medium,2026-05-17,
1230,Staffanstorp,Skåne län,212000-1017,http://www.staffanstorp.se,,1,medium,2026-05-17,
1231,Burlöv,Skåne län,212000-1025,https://burlov.se,,2,medium,2026-05-17,
1233,Vellinge,Skåne län,212000-1033,http://www.vellinge.se,,1,medium,2026-05-17,
1256,Östra Göinge,Skåne län,212000-0860,http://www.ostragoinge.se,,4,medium,2026-05-17,
1257,Örkelljunga,Skåne län,212000-0878,http://www.orkelljunga.se,,1,medium,2026-05-17,
1260,Bjuv,Skåne län,212000-1041,http://www.bjuv.se,,1,medium,2026-05-16,
1261,Kävlinge,Skåne län,212000-1058,http://www.kavlinge.se,,4,high,2026-05-17,
1262,Lomma,Skåne län,212000-1066,https://lomma.se,,2,medium,2026-05-17,
1263,Svedala,Skåne län,212000-1074,http://www.svedala.se,,5,medium,2026-05-17,
1264,Skurup,Skåne län,212000-1082,http://www.skurup.se,,3,medium,2026-05-17,
1265,Sjöbo,Skåne län,212000-1090,http://www.sjobo.se,,2,medium,2026-05-17,
1266,Hörby,Skåne län,212000-1108,https://www.horby.se/,,4,medium,2026-05-17,
